                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6473,                 3.5127,                 2.1587,                0.00733,                0.18614,                0.03321,                0.01678,                 2.4014,                 3.9079,                 2.0276,             0.00046972,             0.00046972,             0.00046972
                      2,                 2.6417,                 2.9549,                  2.049,                0.36763,                0.16047,                0.14633,                0.07978,                 2.3725,                 2.9398,                 2.0083,             0.00093669,             0.00093669,             0.00093669
                      3,                 2.5781,                 2.6816,                 2.0146,                 0.2265,                0.11417,                0.10353,                0.04693,                 2.4783,                 3.0156,                  2.021,              0.0013942,              0.0013942,              0.0013942
                      4,                 2.5374,                 2.6573,                 2.0298,                0.60611,                0.24229,                0.26601,                0.15101,                 2.3958,                 2.7086,                 2.0349,              0.0013866,              0.0013866,              0.0013866
                      5,                  2.452,                 2.5613,                 1.9687,                 0.4735,                0.23401,                0.22714,                0.11965,                 2.3713,                 2.7607,                 2.0352,              0.0013724,              0.0013724,              0.0013724
                      6,                 2.3649,                 2.4022,                 1.9037,                  0.582,                0.26229,                0.29028,                 0.1573,                 2.2354,                 2.4507,                 1.9346,              0.0013583,              0.0013583,              0.0013583
                      7,                 2.3917,                  2.458,                  1.937,                0.48824,                 0.2707,                 0.2956,                0.17652,                 2.2904,                  2.344,                  1.967,              0.0013441,              0.0013441,              0.0013441
                      8,                 2.3822,                 2.4382,                 1.9314,                0.67588,                0.23914,                0.29243,                0.17303,                 2.1968,                 2.2947,                 1.9191,                0.00133,                0.00133,                0.00133
                      9,                 2.2896,                 2.3295,                 1.8724,                0.66397,                0.27013,                0.30399,                0.16882,                 2.1401,                 2.2717,                 1.8596,              0.0013158,              0.0013158,              0.0013158
                     10,                 2.3286,                 2.3569,                 1.8866,                0.68681,                0.24445,                 0.2945,                0.17502,                 2.1117,                 2.3346,                 1.8426,              0.0013017,              0.0013017,              0.0013017
                     11,                 2.2797,                  2.366,                 1.8861,                 0.7702,                0.28252,                0.34597,                0.22062,                 2.0854,                 2.1499,                 1.8688,              0.0012875,              0.0012875,              0.0012875
                     12,                 2.2684,                 2.3591,                 1.8756,                0.79272,                0.26154,                0.32338,                0.20271,                 2.1332,                 2.1839,                 1.8681,              0.0012734,              0.0012734,              0.0012734
