                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7211,                 4.6523,                 2.3104,                0.21429,                0.00657,                0.11055,                0.07984,                 1.6694,                 4.7097,                 1.6163,             0.00012927,             0.00012927,             0.00012927
                      2,                 2.6316,                 4.0074,                 2.1411,                0.13097,                0.40731,                0.26559,                0.13181,                 1.7856,                 3.8974,                  1.621,             0.00026011,             0.00026011,             0.00026011
                      3,                 2.5434,                 3.3442,                  2.033,                0.66774,                0.26611,                0.36494,                0.18289,                 1.8488,                 2.8297,                 1.6039,             0.00038831,             0.00038831,             0.00038831
                      4,                 2.5351,                 3.1045,                 2.0087,                0.61557,                0.34299,                 0.3441,                0.15595,                 2.0427,                 2.5723,                 1.7248,             0.00040462,             0.00040462,             0.00040462
                      5,                 2.4978,                 2.9435,                 1.9767,                0.41773,                0.34169,                0.31172,                0.15728,                 1.8277,                 2.1705,                 1.5971,             0.00040049,             0.00040049,             0.00040049
                      6,                 2.4514,                 2.7787,                 1.9611,                0.70272,                0.42654,                0.51975,                0.26757,                 1.8578,                 1.9393,                 1.6038,             0.00039636,             0.00039636,             0.00039636
                      7,                 2.4727,                 2.7672,                 1.9615,                0.62234,                0.55241,                0.60572,                0.34948,                 1.7714,                 1.9004,                 1.5369,             0.00039223,             0.00039223,             0.00039223
                      8,                 2.4549,                 2.7785,                 1.9626,                0.75621,                0.45406,                 0.5739,                0.32265,                 1.7256,                 1.9144,                 1.5169,              0.0003881,              0.0003881,              0.0003881
                      9,                  2.391,                  2.584,                 1.9032,                0.64031,                0.55582,                0.62857,                0.36084,                 1.7446,                 1.7271,                 1.5468,             0.00038397,             0.00038397,             0.00038397
                     10,                 2.3273,                 2.4707,                  1.861,                0.73235,                0.50475,                0.62831,                0.36069,                 1.7738,                 1.8527,                 1.5647,             0.00037985,             0.00037985,             0.00037985
                     11,                 2.3479,                 2.4302,                 1.8634,                0.63295,                0.57324,                0.65456,                0.38727,                   1.72,                 1.6791,                 1.5061,             0.00037572,             0.00037572,             0.00037572
                     12,                 2.2656,                 2.2939,                 1.7943,                0.73852,                0.42444,                0.55655,                0.33475,                 1.9017,                 1.8655,                 1.6158,             0.00037159,             0.00037159,             0.00037159
                     13,                 2.2971,                 2.3669,                 1.8357,                0.76865,                0.48276,                0.58905,                0.35212,                 1.7422,                 1.7901,                 1.5544,             0.00036746,             0.00036746,             0.00036746
