                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0963,                 3.2803,                 2.0062,                 0.3639,                0.17031,                0.15418,                0.08363,                  3.029,                 3.1362,                 2.8541,             0.00047328,             0.00047328,             0.00047328
                      2,                 2.0405,                 2.9514,                 1.9867,                0.25812,                0.19842,                0.16218,                0.05585,                 3.1257,                 3.1029,                 2.7217,             0.00094021,             0.00094021,             0.00094021
                      3,                 2.0486,                 2.9131,                 2.0055,                0.28747,                0.16446,                0.12489,                0.04867,                 3.2958,                 3.1728,                 2.9034,              0.0013977,              0.0013977,              0.0013977
                      4,                 2.0038,                 2.8897,                 1.9986,                0.39228,                0.20665,                 0.1868,                 0.0972,                 3.0009,                 2.8213,                  2.554,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.9696,                 2.8302,                 1.9489,                0.34493,                0.22187,                0.18026,                0.10036,                 3.0007,                 2.7531,                 2.6095,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.9109,                 2.7545,                  1.934,                0.51532,                 0.2377,                0.23442,                0.13349,                 2.8401,                 2.7224,                 2.4921,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.8577,                 2.7139,                 1.9065,                0.55432,                0.21582,                0.23129,                  0.132,                 2.9519,                 2.6235,                 2.6635,              0.0013441,              0.0013441,              0.0013441
                      8,                  1.839,                 2.7156,                 1.8967,                0.54134,                0.24387,                0.24058,                0.13618,                 2.8652,                 2.6891,                  2.483,                0.00133,                0.00133,                0.00133
                      9,                 1.8167,                 2.6476,                 1.8706,                 0.5664,                0.21707,                0.23791,                0.13782,                 2.7977,                 2.5823,                 2.4994,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.8194,                 2.6834,                 1.8819,                0.55941,                0.24305,                0.24751,                 0.1392,                 2.8405,                 2.5573,                 2.5157,              0.0013017,              0.0013017,              0.0013017
