                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6662,                 4.7086,                 2.4379,                      0,                      0,                      0,                      0,                 1.4797,                 4.5839,                 1.5776,             0.00013553,             0.00013553,             0.00013553
                      2,                 2.4512,                 4.4346,                 2.2462,                0.29154,                0.21503,                0.22987,                0.13287,                 1.5628,                  4.364,                 1.5419,             0.00027181,             0.00027181,             0.00027181
                      3,                  2.492,                 4.0517,                 2.2815,                0.73902,                0.17946,                0.41924,                  0.197,                 1.8931,                 3.6899,                 1.7548,             0.00040534,             0.00040534,             0.00040534
                      4,                 2.5019,                 3.6754,                 2.2997,                0.46432,                0.47646,                0.47903,                0.25958,                 1.7235,                 2.5365,                 1.7202,             0.00040462,             0.00040462,             0.00040462
                      5,                 2.4795,                 3.4658,                 2.2856,                0.52877,                0.44576,                0.46433,                0.26435,                 1.7611,                 2.2677,                 1.7499,             0.00040049,             0.00040049,             0.00040049
                      6,                 2.4428,                 3.2378,                 2.2607,                0.55551,                0.48368,                0.49533,                0.27111,                 1.8794,                 2.3937,                 1.8518,             0.00039636,             0.00039636,             0.00039636
                      7,                 2.3718,                 3.0459,                 2.2149,                0.49254,                 0.4276,                0.45634,                0.25648,                  1.716,                  2.219,                 1.7592,             0.00039223,             0.00039223,             0.00039223
                      8,                 2.3177,                 2.9703,                 2.1929,                0.65651,                0.52271,                0.55652,                0.31756,                 1.8113,                 2.0725,                 1.8579,              0.0003881,              0.0003881,              0.0003881
                      9,                 2.3034,                  2.907,                 2.2318,                0.64567,                0.41418,                0.48996,                0.25402,                 1.7898,                 2.1654,                 1.8747,             0.00038397,             0.00038397,             0.00038397
                     10,                 2.2528,                  2.721,                 2.1336,                0.64249,                0.47812,                0.57709,                0.33231,                 1.6797,                 2.0646,                 1.7361,             0.00037985,             0.00037985,             0.00037985
                     11,                 2.2361,                 2.6901,                 2.1073,                0.62243,                0.46134,                0.52448,                 0.3113,                 1.7612,                 2.1938,                 1.7978,             0.00037572,             0.00037572,             0.00037572
                     12,                 2.2212,                 2.7423,                 2.1592,                0.69088,                0.41376,                0.46653,                0.28352,                  1.771,                  2.447,                 1.8612,             0.00037159,             0.00037159,             0.00037159
                     13,                 2.1933,                 2.6257,                 2.0969,                0.71661,                0.55704,                 0.6555,                0.37433,                 1.7344,                 1.9084,                  1.767,             0.00036746,             0.00036746,             0.00036746
                     14,                 2.1668,                 2.5912,                 2.0855,                0.68537,                0.52824,                0.62423,                0.37107,                 1.6425,                 1.9183,                 1.7169,             0.00036333,             0.00036333,             0.00036333
                     15,                 2.1396,                 2.5596,                 2.1039,                0.76123,                0.46804,                 0.5789,                0.34642,                 1.7348,                 2.0932,                 1.8223,              0.0003592,              0.0003592,              0.0003592
                     16,                 2.1412,                 2.5493,                 2.0925,                0.78166,                0.41587,                0.51994,                0.31425,                 1.8483,                 2.2192,                 1.9162,             0.00035508,             0.00035508,             0.00035508
                     17,                 2.0385,                 2.3747,                 1.9622,                0.74371,                0.41422,                0.52625,                0.32537,                 1.7959,                 2.1815,                 1.8415,             0.00035095,             0.00035095,             0.00035095
                     18,                 2.0627,                 2.4995,                 2.0304,                0.68802,                0.49386,                0.57196,                0.34442,                 1.7597,                 2.0421,                 1.7675,             0.00034682,             0.00034682,             0.00034682
                     19,                 2.0552,                 2.3926,                 2.0075,                0.81639,                0.41821,                0.50736,                0.30711,                 1.7682,                 2.2473,                 1.8123,             0.00034269,             0.00034269,             0.00034269
                     20,                 2.0588,                 2.4766,                 2.0533,                0.73155,                0.52281,                0.62505,                0.36798,                 1.7753,                 1.9914,                 1.7897,             0.00033856,             0.00033856,             0.00033856
                     21,                  2.021,                 2.3417,                 1.9801,                 0.7754,                0.45037,                0.52432,                0.32201,                 1.8571,                 2.1935,                 1.9147,             0.00033443,             0.00033443,             0.00033443
                     22,                      2,                 2.2896,                 1.9728,                0.75135,                0.51462,                0.59789,                 0.3648,                 1.6588,                 1.9366,                 1.6953,             0.00033031,             0.00033031,             0.00033031
                     23,                 2.0028,                 2.3356,                 1.9906,                0.74999,                0.47532,                0.56622,                0.34814,                 1.7868,                 2.0431,                  1.798,             0.00032618,             0.00032618,             0.00032618
